"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","423","createNewCourierWithoutFirstName","","","passed","","","CreateCourier.CreateCourierTest","CreateCourier.CreateCourierTest",""
"","29193","getListOfOrders","","","passed","","","ListOfOrders.ListOfOrderTest","ListOfOrders.ListOfOrderTest",""
"","424","createNewOrder[1]","","","passed","","","CreateOrder.CreateOrderTest","CreateOrder.CreateOrderTest",""
"","502","createNewOrder[0]","","","passed","","","CreateOrder.CreateOrderTest","CreateOrder.CreateOrderTest",""
"","60284","loginCourierWithoutPassword","","","passed","","","LoginCourier.LoginCourierTest","LoginCourier.LoginCourierTest",""
"","157","createNewCourierWithoutPassword","","","passed","","","CreateCourier.CreateCourierTest","CreateCourier.CreateCourierTest",""
"","738","createTwoIdenticalCourier","","","passed","","","CreateCourier.CreateCourierTest","CreateCourier.CreateCourierTest",""
"","2448","createNewCourierWithoutLogin","","","passed","","","CreateCourier.CreateCourierTest","CreateCourier.CreateCourierTest",""
"","418","createNewOrder[3]","","","passed","","","CreateOrder.CreateOrderTest","CreateOrder.CreateOrderTest",""
"","286","loginCourierIncorrectPassword","","","passed","","","LoginCourier.LoginCourierTest","LoginCourier.LoginCourierTest",""
"","461","createNewOrder[2]","","","passed","","","CreateOrder.CreateOrderTest","CreateOrder.CreateOrderTest",""
"","565","createNewCourier","","","passed","","","CreateCourier.CreateCourierTest","CreateCourier.CreateCourierTest",""
"","281","loginCourierIncorrectLogin","","","passed","","","LoginCourier.LoginCourierTest","LoginCourier.LoginCourierTest",""
"","440","loginCourier","","","passed","","","LoginCourier.LoginCourierTest","LoginCourier.LoginCourierTest",""
"","284","loginCourierWithoutLogin","","","passed","","","LoginCourier.LoginCourierTest","LoginCourier.LoginCourierTest",""
